iter	Passed	Remaining
470	977	1097
471	979	1095
472	980	1092
473	982	1089
474	983	1087
475	985	1084
476	986	1082
477	989	1080
478	990	1077
479	992	1075
480	994	1072
481	995	1070
482	997	1068
483	999	1065
484	1001	1063
485	1003	1061
486	1006	1059
487	1007	1057
488	1009	1055
489	1011	1053
490	1013	1050
491	1014	1047
492	1016	1045
493	1018	1042
494	1020	1040
495	1021	1037
496	1023	1035
497	1025	1033
498	1027	1031
499	1029	1029
500	1030	1026
501	1032	1023
502	1033	1021
503	1035	1019
504	1037	1017
505	1039	1015
506	1041	1012
507	1043	1010
508	1045	1008
509	1046	1005
510	1048	1003
511	1050	1001
512	1052	999
513	1054	996
514	1055	994
515	1057	992
516	1059	989
517	1061	987
518	1062	985
519	1064	982
520	1066	980
521	1068	978
522	1070	976
523	1072	974
524	1074	971
525	1075	969
526	1077	967
527	1079	964
528	1081	962
529	1083	960
530	1085	958
531	1086	956
532	1088	954
533	1090	951
534	1092	949
535	1093	946
536	1095	944
537	1097	942
538	1098	939
539	1100	937
540	1102	935
541	1104	933
542	1106	930
543	1107	928
544	1109	926
545	1111	924
546	1113	922
547	1115	919
548	1116	917
549	1118	915
550	1120	913
551	1122	910
552	1124	908
553	1125	906
554	1129	905
555	1132	904
556	1134	902
557	1136	900
558	1138	898
559	1139	895
560	1141	893
561	1143	891
562	1145	888
563	1147	886
564	1148	884
565	1150	882
566	1152	880
567	1154	878
568	1156	875
569	1158	873
570	1160	871
571	1162	869
572	1163	867
573	1165	865
574	1167	863
575	1169	860
576	1170	858
577	1172	856
578	1174	854
579	1176	851
580	1177	849
581	1179	847
582	1181	845
583	1182	842
584	1184	840
585	1185	837
586	1193	840
587	1195	837
588	1197	835
589	1198	833
590	1200	830
591	1201	828
592	1203	825
593	1204	823
594	1205	820
595	1207	818
596	1209	816
597	1211	814
598	1212	811
599	1214	809
600	1215	807
601	1217	804
602	1218	802
603	1220	800
604	1222	798
605	1224	796
606	1226	793
607	1228	791
608	1229	789
609	1231	787
610	1233	785
611	1234	782
612	1236	780
613	1238	778
614	1240	776
615	1242	774
616	1244	772
617	1246	770
618	1247	767
619	1249	765
620	1251	763
621	1252	761
622	1254	759
623	1256	757
624	1258	755
625	1260	752
626	1262	750
627	1263	748
628	1265	746
629	1267	744
630	1268	741
631	1269	739
632	1271	737
633	1273	735
634	1275	733
635	1276	730
636	1278	728
637	1279	726
638	1281	724
639	1283	721
640	1285	719
641	1286	717
642	1288	715
643	1290	713
644	1292	711
645	1294	709
646	1296	707
647	1298	705
648	1300	703
649	1302	701
650	1305	700
651	1307	697
652	1309	695
653	1311	693
654	1313	692
655	1315	690
656	1317	687
657	1319	685
658	1321	683
659	1323	681
660	1324	679
661	1326	677
662	1327	675
663	1330	673
664	1331	670
665	1333	668
666	1335	666
667	1337	664
668	1339	662
669	1341	660
670	1343	658
671	1345	656
672	1347	654
673	1349	652
674	1351	650
675	1353	648
676	1354	646
677	1356	644
678	1357	641
679	1359	639
680	1361	637
681	1364	636
682	1366	634
683	1369	632
684	1371	630
685	1373	628
686	1374	626
687	1376	624
688	1378	622
689	1380	620
690	1382	618
691	1384	616
692	1386	614
693	1388	612
694	1389	609
695	1391	607
696	1393	605
697	1395	603
698	1396	601
699	1398	599
700	1400	597
701	1402	595
702	1404	593
703	1405	590
704	1407	588
705	1408	586
706	1410	584
707	1412	582
708	1414	580
709	1415	578
710	1417	576
711	1419	574
712	1420	571
713	1422	569
714	1424	567
715	1426	565
716	1427	563
717	1428	561
718	1430	559
719	1432	557
720	1434	555
721	1436	553
722	1439	551
723	1441	549
724	1443	547
725	1446	545
726	1447	543
727	1449	541
728	1452	539
729	1453	537
730	1456	535
731	1459	534
732	1463	533
733	1465	530
734	1466	528
735	1468	526
736	1471	525
737	1473	523
738	1475	521
739	1477	518
740	1479	517
741	1482	515
742	1484	513
743	1486	511
744	1488	509
745	1490	507
746	1492	505
747	1494	503
748	1496	501
749	1498	499
750	1500	497
751	1503	495
752	1505	493
753	1507	491
754	1509	489
755	1511	487
756	1512	485
757	1514	483
758	1516	481
759	1518	479
760	1521	477
761	1522	475
762	1524	473
763	1527	471
764	1528	469
765	1529	467
766	1531	465
767	1533	463
768	1535	461
769	1537	459
770	1539	457
771	1541	455
772	1543	453
773	1545	451
774	1547	449
775	1549	447
776	1551	445
777	1553	443
778	1555	441
779	1557	439
780	1559	437
781	1561	435
782	1563	433
783	1564	431
784	1566	429
785	1568	427
786	1570	425
787	1572	423
788	1575	421
789	1577	419
790	1579	417
791	1580	415
792	1582	413
793	1584	411
794	1586	409
795	1588	407
796	1590	405
797	1592	403
798	1594	401
799	1596	399
800	1597	396
801	1599	394
802	1604	393
803	1606	391
804	1608	389
805	1610	387
806	1612	385
807	1614	383
808	1616	381
809	1617	379
810	1619	377
811	1621	375
812	1623	373
813	1625	371
814	1626	369
815	1629	367
816	1630	365
817	1632	363
818	1635	361
819	1636	359
820	1638	357
821	1640	355
822	1642	353
823	1644	351
824	1646	349
825	1648	347
826	1650	345
827	1652	343
828	1654	341
829	1656	339
830	1658	337
831	1660	335
832	1663	333
833	1667	331
834	1670	330
835	1672	328
836	1674	326
837	1676	324
838	1679	322
839	1680	320
840	1682	318
841	1684	316
842	1686	314
843	1688	312
844	1690	310
845	1692	308
846	1694	306
847	1696	304
848	1697	301
849	1699	299
850	1702	298
851	1703	295
852	1705	293
853	1707	291
854	1709	289
855	1711	287
856	1714	286
857	1716	284
858	1717	281
859	1719	279
860	1721	277
861	1724	276
862	1726	274
863	1728	272
864	1730	270
865	1732	268
866	1734	266
867	1736	264
868	1738	262
869	1740	260
870	1742	258
871	1744	256
872	1746	254
873	1748	252
874	1750	250
875	1752	248
876	1754	246
877	1756	244
878	1758	242
879	1760	240
880	1762	238
881	1771	237
882	1775	235
883	1779	233
884	1785	232
885	1788	230
886	1791	228
887	1798	226
888	1801	224
889	1804	223
890	1810	221
891	1813	219
892	1816	217
893	1823	216
894	1826	214
895	1832	212
896	1835	210
897	1839	208
898	1841	206
899	1843	204
900	1845	202
901	1846	200
902	1848	198
903	1850	196
904	1852	194
905	1854	192
906	1857	190
907	1860	188
908	1862	186
909	1864	184
910	1866	182
911	1870	180
912	1871	178
913	1874	176
914	1876	174
915	1878	172
916	1881	170
917	1884	168
918	1886	166
919	1887	164
920	1890	162
921	1892	160
922	1894	158
923	1896	155
924	1898	153
925	1900	151
926	1902	149
927	1904	147
928	1906	145
929	1908	143
930	1910	141
931	1912	139
932	1914	137
933	1916	135
934	1918	133
935	1920	131
936	1922	129
937	1924	127
938	1926	125
939	1928	123
940	1930	121
941	1932	119
942	1935	116
943	1937	114
944	1939	112
945	1941	110
946	1943	108
947	1945	106
948	1947	104
949	1949	102
950	1951	100
951	1953	98
952	1955	96
953	1957	94
954	1959	92
955	1961	90
956	1963	88
957	1965	86
958	1967	84
959	1969	82
960	1974	80
961	1978	78
962	1984	76
963	1988	74
964	1992	72
965	1995	70
966	2000	68
967	2005	66
968	2010	64
969	2013	62
970	2015	60
971	2022	58
972	2024	56
973	2029	54
974	2033	52
975	2039	50
976	2042	48
977	2049	46
978	2053	44
979	2058	42
980	2062	39
981	2067	37
982	2071	35
983	2074	33
984	2080	31
985	2084	29
986	2089	27
987	2093	25
988	2095	23
989	2098	21
990	2101	19
991	2103	16
992	2105	14
993	2107	12
994	2109	10
995	2111	8
996	2113	6
997	2115	4
998	2117	2
999	2119	0
