iter	Logloss
0	0.6861079388
1	0.6807116185
2	0.6752663192
3	0.6712221794
4	0.6661658782
5	0.6609001351
6	0.6547618965
7	0.648879023
8	0.6436617347
9	0.6391953834
10	0.634834928
11	0.6295209116
12	0.625281387
13	0.6206695811
14	0.6153431118
15	0.6111352969
16	0.6063322497
17	0.601364022
18	0.5979045684
19	0.5936524795
20	0.5899569918
21	0.5866326732
22	0.582182933
23	0.5791116304
24	0.5770564908
25	0.573184392
26	0.5693603792
27	0.5659833442
28	0.5641198205
29	0.5613438261
30	0.5587492544
31	0.5558402948
32	0.5529301752
33	0.5497691895
34	0.5461309058
35	0.5436430751
36	0.5408922826
37	0.5379091124
38	0.5349339107
39	0.5319637794
40	0.5290592443
41	0.5263541938
42	0.5241775409
43	0.5212201837
44	0.518983578
45	0.5166881437
46	0.5145851127
47	0.5133320774
48	0.5112384502
49	0.5091620135
50	0.5080785904
51	0.5059333808
52	0.5035861579
53	0.5021152006
54	0.5003024468
55	0.498279612
56	0.4965774449
57	0.4944758274
58	0.4935831216
59	0.4926961382
60	0.4911052748
61	0.489803167
62	0.4882615423
63	0.4867246301
64	0.4853014624
65	0.4840991639
66	0.4826368369
67	0.4808496837
68	0.4794044719
69	0.4785519698
70	0.4769023655
71	0.4756625277
72	0.474862847
73	0.4732955222
74	0.4726830175
75	0.471678903
76	0.469762213
77	0.4679657194
78	0.4667744377
79	0.4653516902
80	0.4644180081
81	0.4634386119
82	0.4620059364
83	0.4609368099
84	0.4599290499
85	0.4587921923
86	0.4577538677
87	0.4565918169
88	0.4553499102
89	0.4543270014
90	0.4532111586
91	0.4520659913
92	0.4505735797
93	0.449508889
94	0.4486888875
95	0.4474717838
96	0.4466467978
97	0.4457295925
98	0.445047178
99	0.4438372874
100	0.4430431099
101	0.4418317445
102	0.4413521024
103	0.4411941473
104	0.4407960351
105	0.439722701
106	0.4389498615
107	0.437974795
108	0.437286
109	0.4365963737
110	0.4358625242
111	0.4349100685
112	0.4341221486
113	0.4330652739
114	0.432386777
115	0.4317293327
116	0.4308283284
117	0.4301295669
118	0.4295260219
119	0.4285628614
120	0.4275677306
121	0.4268466167
122	0.4257962625
123	0.4249399008
124	0.4244747026
125	0.4240571019
126	0.4232115268
127	0.4229586441
128	0.4226680311
129	0.4224046195
130	0.4220246159
131	0.4218530533
132	0.4216849878
133	0.4213557129
134	0.4205137171
135	0.4199519935
136	0.4193648675
137	0.4190657551
138	0.4188190885
139	0.4183947934
140	0.4178997334
141	0.4172967811
142	0.4170964231
143	0.416315295
144	0.4155347411
145	0.4150501213
146	0.4145259059
